question,response
To ask the Secretary of State for Education what briefing was prepared by her Department to ensure the panel for appointments to the Board of the Office for Students had sufficient background information on applicants' use of social media to ensure they were able to do due diligence on their decision.,The Higher Education representative who served on the panel for appointments to the Board of the Office for Students referred to by the Universities Minister on the 8 January 2018 was Gordon McKenzie Chief Executive of GuildHE. Panel members received application details of candidates that they had shortlisted ahead of the interviews. This included declarations on conflicts of interest and political activity which were then discussed with candidates at interview. Due diligence took place ahead of interviews and appointments. Neither panel members nor the department were aware of the offensive tweets by Toby Young before his appointment was made. These remarks were years in some cases decades in the past. It is not reasonable or proportionate for government to trawl through tens of thousands of tweets over many years when making public appointments though we will reflect on the lessons that we can learn from this experience.        
To ask the Secretary of State for Education pursuant to the oral contribution of the Minister of State for Universities Science Research and Innovation of 8 January 2018 how many candidates deemed appointable by the most recent appointment panel for the Office for Students were not subsequently appointed.,Two parallel open recruitment campaigns were held in the second half of 2017; one for Office for Students (OfS) board members and a second specifically for a student experience board member. The campaigns generated 221 applications for the non-executive board member positions and 133 applications for the student experience representative. Please note that some applicants responded to both campaigns. 11 candidates were shortlisted for interview for the non-executive board member positions. 10 interviews were held as one candidate did not attend the interview. Six candidates were shortlisted and interviewed for the student experience board member position. Ten candidates were deemed appointable for the non-executive board member positions. Three candidates were deemed appointable for the student experience board member position. Ministers chose to appoint five candidates from the ten non-executive campaign and therefore five candidates were not appointed. For the student experience campaign ministers chose not to appoint any of the three appointable candidates. Ministers then chose to make an interim appointment of one of the successful candidates appointed to the OfS Student Panel onto the OfS Board and will re-run a campaign for a permanent student representative on the OfS Board later in the year.
To ask the Secretary of State for Business Energy and Industrial Strategy with reference to The Patents and Patents (Fees) (Amendment) Rules 2017 what assessment has made of the potential effect of the increase in fees on the number of patent applications.,"The fee changes are being made after a full public consultation and Impact Assessment (<a href=\http://www.gov.uk/government/consultations/proposed-changes-to-statutory-patents-fees\"" target=\""_blank\"">www.gov.uk/government/consultations/proposed-changes-to-statutory-patents-fees</a>). Past experience has shown that previous fee increases have resulted in small or no changes in the number of patent applications. The new fees remain modest but are designed to encourage businesses and in particular individuals to consider carefully “ before they apply “ whether patent protection will be of benefit to them. We therefore expect to see a decrease in the number of speculative applications and applications with little chance of successfully being granted a patent. The Impact Assessment modelled a 10% decrease in the number of applications on this basis but no decrease is expected in the number of valid patents being granted to innovators. This will ensure that valuable patent examiner resources can be more focussed on patent applications with a prospect of success to the benefit of innovative businesses. """
To ask the Secretary of State for Business Energy and Industrial Strategy what representations he has received on researchers being excluded from EU research projects as a result of the UKs decision to leave the EU; and if he will provide a breakdown of those representations by academia and industry.,"The Government is committed to ensuring the best possible outcomes for UK Science and Research as we exit the European Union. Following the referendum we set up a dedicated mailbox (<a href=\mailto:research@beis.gov.uk\"" target=\""_blank\"">research@beis.gov.uk</a>) to allow academics researchers and others with an interest to register any issues experienced in engaging with European activities. Since the announcement of the government underwrite of funding the number of representations received has been low. Stakeholders have largely been in touch to seek clarification “ both on the extent of the funding guarantee and on the eligibility of UK applicants to continue participating in EU research projects after exit “ rather than to report cases of discrimination.The Joint Report published by the UK and EU negotiating teams on 8th December 2017 and agreed by the European Council makes clear that as part of the overall withdrawal agreement the UKs right to participate in EU programmes including Horizon 2020 will be unaffected by the UKs withdrawal from the EU. UK based organisations and individuals will be able to bid for funding participate in and lead consortia for the remainder of the programmes including in 2019 and 2020."""
To ask the Secretary of State for Education how many applications were received to serve on the board for the Office for Students.,Two parallel open recruitment campaigns were held in the second half of 2017. One for Office for Students (OfS) board members and a second specifically for a student experience board member who must have experience of representing or promoting the interests of students individually or generally on higher education courses provided by higher education providers. The OfS board members competition received 221 applications. The student experience board member competition received 133 applications. Some applicants responded to both campaigns.
To ask the Secretary of State for Education  To ask the Secretary of State for Education what the reason is for the difference in the repayment thresholds for Plan 1 and Plan 2 loan schemes.,Plan 1 and Plan 2 income contingent repayment student loans are separate loan products with different terms and conditions including different interest rates repayment thresholds and write-off periods.
To ask the Secretary of State for Education for what reason students with a Student Loan living in countries with higher tax rates are subject to a lower repayment threshold than students living in the UK.,The repayment of student loans is governed by the Education (Student Loans) (Repayment) Regulations 2009 (as amended). All borrowers including those resident in the UK and overseas are liable to make student loan repayments calculated on the basis of pre-tax income.Overseas repayment thresholds are calculated using World Bank cost of living data (which is used to compare differences between the cost of living in the UK and other countries) not the tax rates of countries of residence. This means that if a borrower is resident in a country calculated as having a lower cost of living than the UK the repayment threshold applied to their loan will be lower than would be the case if they were residing in the UK.
To ask the Secretary of State for Education for what reasons the Student Loan repayment rate is calculated using gross salary levels.,The repayment of student loans is governed by the Education (Student Loans) (Repayment) Regulations 2009 (as amended). The amount that a borrower is required to repay is calculated on the basis of income subject to National Insurance contributions (for UK-resident PAYE borrowers) or income subject to tax (for borrowers required to complete a Self Assessment Tax form or borrowers resident overseas). This provides equal treatment of borrowers. An individuals effective tax rate can be dependent on a variety of factors such as investment income or pension contributions and does not provide a simple link to earnings.
To ask the Secretary of State for Education what the selection criteria were for positions on the board of the Office for Students.,The Higher Education and Research Act 2017 requires that the Office for Students (OfS) must have a Chair a Chief Executive Officer a Director for Fair Access and Participation and between seven and 12 ordinary members. At least one of these ordinary members must have experience of representing or promoting the interests of students individually or generally on higher education courses provided by higher education providers. The Higher Education and Research Act (Schedule 1 S2(2)) sets out criteria for ministers to have regard to in making appointments.The selection criteria were published in the applicant packs which were available on the Cabinet Office Public Appointments website for the duration of the campaign. Extracts from the applicant packs are provided in the attached document.
To ask the Secretary of State for Business Energy and Industrial Strategy what assessment he has made of the effect of no deal with the EU on (a) the implementation of the industrial strategy and (b) the ability to secure private research and development investment to achieve the target set out in that strategy.,Our ambitious Industrial Strategy is not dependent on our negotiations with the EU. We do however recognise that EU Exit is a key issue for many sectors of the economy.The Industrial Strategy builds on our strengths creating strong foundations to meet the challenges of the future and will help us make the best of our relations with Europe and beyond.The Government wants the UK to remain the go-to-place for scientists innovators and tech investors across the world. We intend to secure the best possible outcome for UK R&amp;D as we exit the European Union and would welcome agreement to continue to collaborate with our European partners on science technology and innovation.
To ask the Secretary of State for Justice how many people were serving prison sentences in each of the last five years; and what the average cost to the public purse per prisoner was in each of the last five years.,"Her Majestys Prison and Probation Service routinely publishes average costs per prisoner costs per prison place and overall prison unit costs for each private and public sector prison in England and Wales. Additionally the prison population numbers are included within the published data. This information is produced on an annual basis and is published after the end of each financial year. Information on prison population and expenditure for previous financial years can be accessed in the Prison and Probation Performance Statistics pages for each financial year on the <a href=\http://www.gov.uk\"" target=\""_blank\"">www.gov.uk</a> website. Prison unit costs can be found within the Excel document Costs per prison place and cost per prisoner by individual prison establishment in the ˜Cost by Establishment tab. The most recent published figures for financial year 2016-17 can be accessed on the www.gov.uk website from the following link:<a href=\""https://www.gov.uk/government/statistics/prison-performance-statistics-2016-to-2017\"" target=\""_blank\"">https://www.gov.uk/government/statistics/prison-performance-statistics-2016-to-2017</a>Within the costs per prison place and cost per prisoner 2016 to 2017 summary file the figures for financial year 2015-16 have been restated to enable a more accurate comparison between the two years."""
To ask the Secretary of State for Business Energy and Industrial Strategy how much funding has been provided to the Met Office in each of the last five years.,The Met Office is a trading fund and provides weather and climate services under contract to a range of government and commercial customers. R<em>evenue from these services in each of the last five years is shown in the following table.</em> <table><tbody><p /><p /><p /><p /><p /><p /><p /><p /><p /><p /><p /><p /><p /><p /><p /><p /><p /></tbody></table><table><tbody> 2016/172015/162014/152013/142012/13Total Revenue (£000)226827227480220795208118204929(of which) Government services (£000)194790195710187375175453171760</tbody></table> The majority of the Met Office's Government services relate to the Met Office's public task its role as the UK's National Meteorological Service and its support of the Ministry of Defence and other Government departments in respect of weather and climate related services. In addition the Met Office has received grant funding from Government in the last five years for capital investment in its underpinning infrastructure covering High Performance Computing volcanic ash monitoring and space weather forecasting. <table><tbody><p /><p /><p /><p /><p /><p /><p /><p /><p /><p /><p /></tbody></table> <table><tbody> 2016/172015/162014/152013/142012/13Total grants (£000)4700050000“31912234</tbody></table> 
To ask the Secretary of State for Business Energy and Industrial Strategy what assessment he has made of the effect of the Patents and Patents (Fees) (Amendment) Rules 2017 on the number of patent applications from small businesses.,The fee changes being made are the first patent fee increases since 2010. They have been made after a full public consultation and Impact Assessment both of which considered the impact on small businesses. UK patent fees will remain amongst the lowest globally ensuring access to the system for businesses of all sizes.
To ask the Secretary of State for Justice what progress has been made on the implementation of a smoking ban on the prison estate in England and Wales.,There are now 68 prisons smoke free. More prisons across England are currently preparing for the safe implementation of a smoke free environment during the next six months. All prisons in Wales are already smoke free. In every prison the decision on when to go smoke free is only taken after careful planning and preparation to ensure it is operational safe to do so and all necessary healthcare support is available to help prisoners give up smoking.
To ask the Secretary of State for Justice what assessment he has made on the effect of the implementation of the smoking ban in prisons on order and discipline in those prisons.,The Government remains fully committed to making all prisons smoke free. The decision to go smoke free in every prison is only taken after careful planning and preparation (Readiness Assessments); and the final decision is only taken when each prison has met stringent checks to ensure that it is safe to do so and all necessary healthcare support is available to help prisoners give up smoking. Maintaining order and control in our prisons is our priority and this large-scale project has been actively managed under usual project management disciplines.
To ask the Secretary of State for Justice what steps his Department is taking to protect prison officers from exposure to new psychoactive substances.,HMPPS priority is to reduce any potential use or secondary exposure to Psychoactive Substances (PS) by drug supply prevention reduction and detection. Intelligence and security procedures are available to activate strategies including lock-down searches and the use of dog teams to detect and reduce supply. Co-operation and liaison with police and CPS at local and national level is also ongoing to work on prosecutions and supply intelligence. In October health and safety guidance was published which brought together existing procedures for the control of exposure to all airborne contaminants in prisons. In order to establish an evidence-base for reported exposures to staff experts have been appointed to undertake air sampling to identify and assess concentrations if any of PS in prison wings and this program is due to start as a pilot in one prison in January 2018. HMPPS continues to monitor and investigate apparent adverse effects of PS exposure and to seek to ensure that methods to reduce supply are fully implemented.
To ask the Secretary of State for Justice what information his Department holds on the number of people losing custody of children following their recall to prison in each of the last three years.,The information requested is not held centrally and can only be obtained at disproportionate cost.
To ask the Secretary of State for Justice how much was paid from the public purse in compensation to prison staff as a result of injuries suffered in a violent attack on the prison estate in 2017.,This information is not available until after the end of the financial year and subsequent audit process.
To ask the Secretary of State for Justice what the average caseload per caseworker has been for each Community Rehabilitation Company in the last twelve months.,"Figures on the average caseload of probation officers are not collected centrally. A probation workers workload is not based solely on the number of cases they are managing but the level of supervision required. The Ministry of Justice publishes statistics showing the total caseload of the National Probation Service (NPS) and the 21 Community Rehabilitation Companies. Figures for total probation caseload are published quarterly in the Offender Management Statistics Bulletin England and Wales: <a href=\https://www.gov.uk/government/collections/offender-management-statistics-quarterly\"" target=\""_blank\"">https://www.gov.uk/government/collections/offender-management-statistics-quarterly</a>."""
To ask the Secretary of State for Justice pursuant to the Answer of 29 November 2017 to Question 115581 if he will publish the recent internal review into the probation system with commercially sensitive sections redacted.,Given the significant commercial nature of the review of the probation system it would be impractical to publish redacted versions of the documentation which were never intended for publication.
To ask the Secretary of State for Justice if his Department will publish the HMPPS investigation into the concerted indiscipline at HMP Long Lartin on 11 October 2017.,We do not publish the Investigation reports into incidents of concerted indiscipline. The information could allow prisoners to adapt their behaviour in a way that could undermine or circumvent any recommendations within the reports. This would impact negatively on the Prison and Probation Services (HMPPS) ability to implement changes to security processes and procedures which will in turn increase the threat to good order and discipline and staff safety.
To ask the Secretary of State for Justice if his Department will publish all HMPPS investigations conducted into incidents of concerted indiscipline since 2010.,We do not publish the Investigation reports into incidents of concerted indiscipline. The information could allow prisoners to adapt their behaviour in a way that could undermine or circumvent any recommendations within the reports. This would impact negatively on the Prison and Probation Services (HMPPS) ability to implement changes to security processes and procedures which will in turn increase the threat to good order and discipline and staff safety.
To ask the Secretary of State for Justice on how many occasions wings of privately-owned prisons have been closed due to insufficient staff levels in the 12 months.,Over the last 12 months from January 2017 “ December 2017 there has been no wing closures in privately managed prisons due to insufficient staffing levels.
To ask the Secretary of State for Justice pursuant to the Answer of 19 December 2017 to Question 119056 if he will publish quarterly figures for the number of call outs for the National Tactical Response Group.,The National Tactical Response Group (NTRG) provides additional support staff or resources to prisons to help them deal with a variety of incidents. We currently do not publish quarterly figures for call outs of the national tactical response group. There are no plans to publish new security data.
To ask the Secretary of State for Justice pursuant to the Answer of 19 December 2017 to Question 118989 on community orders whether his Department has conducted research on the reasons for the decline in the number of community sentences cited in the answer.,The Ministry of Justice collates and monitors statistics produced by relevant agencies so that it is able to provide commentary in published statistical bulletins. Published statistics have identified several key factors in reduced numbers of community sentences as stated in previous Answers.
To ask the Secretary of State for Justice when he plans to respond to the letter from the Right hon. Member for Warley on Mr Maxwell.,The response you have requested was sent out on 13 November 2017.
To ask the Secretary of State for Business Energy and Industrial Strategy what his Department's total spend on health research and development was in each of the last five years.,"We do not hold data for total Departmental spend on health research and development. However the UK Clinical Research Collaboration (UKCRC) have published their 2014 UK health research analysis at <a href=\http://www.ukcrc.org/research-coordination/health-research-analysis/uk-health-research-analysis/\"" target=\""_blank\"">http://www.ukcrc.org/research-coordination/health-research-analysis/uk-health-research-analysis/</a>.  """
To ask the Secretary of State for Business Energy and Industrial Strategy what mechanisms his Department uses to share best practice with other Government Departments on including provisions on affordable access in research and development grants.,This Government supports open access to research publications following the Finch Report in 2012 and further advice from Professor Adam Tickell in 2016. It is for the Research Councils and Funding Councils (and soon UK Research and Innovation) to implement open access within their arrangements for grants and other instruments. The Research Councils make available block grants to enable universities to make publications arising from their research open access. Best practice in this regard is for research publications to be open access that is freely available for all to read on the internet and for research data to be œFAIRù. We support the recent G7 communique that proposes that œresearch data should adhere to the FAIR principles of being findable accessible interoperable and reusableù. This does not mean that such data should always be open as there are circumstances in which that would not be appropriate for example where personal confidentiality or national security might be put at risk. Best practice is shared with other Government departments primarily through the work of the Government Office for Science and the Chief Scientific Advisors in Government departments across Whitehall. 
To ask the Secretary of State for Justice if his Department will conduct an assessment of the range of reports issued by Her Majesty's Inspectorate of Prisons in England and Wales compared with the reports issued by its counterpart bodies in Scotland and Northern Ireland.,The role of the widely respected inspectorates in England and Wales Scotland and Northern Ireland is critical in ensuring that there is an objective and challenging assessment of individual prisons and criminal justice systems. There are a range of reports that are issued by these independent scrutiny bodies including inspection reports annual reports thematic reports monitoring reports and action plan reviews. Some of these reports are joint publications for example Criminal Justice Inspection Northern Ireland and Her Majestys Inspectorate of Prisons recently conducted an inspection of HMP Magilligan which was published on 12<sup>th</sup> December 2017. We are always looking at ways to maximise the impact of independent scrutiny on our prisons to improve the outcomes for prisoners. The Inspectorates are independent and it is for them to consider how best to share their learning and best practice.
To ask the Secretary of State for Justice pursuant to the Answer of  14 December to Question 118432 how many times a Contract Management Team has notified a Community Rehabilitation Company that its staffing level is insufficient.,This Question has been interpreted as asking whether Contract Management Teams (CMTs) have formally notified Community Rehabilitation Companies (CRCs) that staffing levels are too low and that action should be taken to increase staffing. I can confirm that over the last 12 months CMTs have not formally notified any CRCs to take action to increase staffing levels. The contracts with CRCs require each CRC to ensure that it employs a sufficient level of staff and that its workforce is competent and adequately trained. Our CMTs closely monitor and robustly manage providers on a local basis taking into account the regional context to make sure they fulfil their contractual commitments to reduce reoffending protect the public and provide value for money to the taxpayer.
To ask the Secretary of State for Justice pursuant to the Answer of 19 December to Question 119247 what categories of information the Government collects on detached duty.,The deployment of staff between prisons on detached duty is a regular and normal part of prison management and resourcing. These are operational decisions made on the basis of a wide range of management information and based on assessments of the current operational need and the availability of eligible staff.
To ask the Secretary of State for Justice pursuant to the Answer of 19 December to Question 119247 if he will publish all data held by the Government on detached duty.,There is no intention to publish this information. The deployment of staff between prisons on detached duty is a regular and normal part of operational prison management made on the basis of the current operational need.
To ask the Secretary of State for Justice Pursuant to the Answer of 19 December to Question 119536 what the total expenditure was in 2017 prices on (a) public and private prisons across the whole estate (b) public prisons and (c) private prisons in each year since 2010.,"The information requested is not held centrally and could be obtained only at disproportionate cost. However Her Majestys Prison and Probation Service routinely publishes average costs per prisoner costs per prison place and overall prison unit costs for each private and public sector prison in England and Wales. This information is produced on an annual basis and is published after the end of each financial year. Information on actual prison expenditure for previous financial years can be accessed in the Prison and Probation Performance Statistics pages for each financial year on the <a href=\http://www.gov.uk\"" target=\""_blank\"">www.gov.uk</a> website. Prison unit costs can be found within the Excel document Costs per prison place and cost per prisoner by individual prison establishment in the ˜Cost by Establishment tab. The most recent published figures for financial year 2016-17 can be accessed on the www.gov.uk website from the following link:<a href=\""https://www.gov.uk/government/statistics/prison-performance-statistics-2016-to-2017\"" target=\""_blank\"">https://www.gov.uk/government/statistics/prison-performance-statistics-2016-to-2017</a>Within the costs per prison place and cost per prisoner 2016 to 2017 summary file the figures for financial year 2015-16 have been restated to enable a more accurate comparison between the two years."""
To ask the Secretary of State for Justice when his Department was made aware of reports that 15000 meetings between offenders and the London Community Rehabilitation Company had been missed.,Senior officials regularly meet with London CRC to hold them to account for delivery including through actions of the HMPPS Contract Management Team. In November 2016 a taskforce was established as a result of the concerns raised by our contract compliance team and HMI Probation. Since then London CRC has developed a comprehensive action plan and bolstered its senior leadership. They have revised their staffing structures to ensure that caseloads are manageable and robust action is being taken in relation to under-performance.
To ask the Secretary of State for Justice whether he has been made aware of allegations of Community Rehabilitation Companies falsifying records other than the London Community Rehabilitation Company.,We have had no reports of such allegations but would take appropriate and robust action in such circumstances. Public protection is our top priority and we will take all necessary action to make sure the probation system is reducing reoffending and preventing future victims.
To ask the Secretary of State for Justice what the change has been to the prisons budget in real terms in each year since 2010; and what the projected change will be in real terms in each year to 2022.,"Budgets are subject to in year movement and organisational restructure. Prison unit costs are published annually providing the actual cost mechanism for all prisons. These are not comparable across the long term due to changes in accounting treatments and scope of business which do not provide a consistent basis. Additionally the public sector and private sector costs are not directly comparable because of differences in method of financing and scope of services. Her Majestys Prison and Probation Service (formerly known as the National Offender Management Service) routinely publishes average costs per prisoner costs per prison place and overall prison unit costs for each private and public sector prison in England and Wales. This information is produced on an annual basis and is published after the end of each financial year. Information on actual prison expenditure for previous financial years can be accessed in the Prison and Probation Performance Statistics pages for each financial year on the <a href=\https://www.gov.uk/government/collections/prison-and-probation-trusts-performance-statistics#prison-performance-statistics\"" target=\""_blank\"">https://www.gov.uk/government/collections/prison-and-probation-trusts-performance-statistics#prison-performance-statistics</a>. Prison unit costs can be found within the Excel document Costs per prison place and cost per prisoner by individual prison establishment in the ˜Cost by Establishment tab. The most recent published figures for financial year 2016-17 can be accessed on the www.gov.uk website from the following link:<a href=\""https://www.gov.uk/government/statistics/prison-performance-statistics-2016-to-2017\"" target=\""_blank\"">https://www.gov.uk/government/statistics/prison-performance-statistics-2016-to-2017</a>Within the costs per prison place and cost per prisoner 2016 to 2017 summary file the figures for financial year 2015-16 have been restated to enable a more fair comparison between the two years. <table><tbody>       </tbody></table>Prison Budgets for future financial years have yet to reach a settlement and therefore have not yet been finalised."""
To ask the Secretary of State for Justice what assessment he has made of the change in the number of full-time equivalent staff employed by private probation firms since 2016.,The contracts with Community Rehabilitation Companies require each CRC to ensure that it employs a sufficient level of staff and that its workforce is competent and adequately trained. Our Contract Management Teams continually monitor and robustly manage providers on a local basis taking into account the regional context to make sure they fulfil their contractual commitments to reduce reoffending protect the public and provide value for money to the taxpayer. Public protection is our top priority and we will take all necessary action to make sure the probation system is reducing reoffending and preventing future victims.
To ask the Secretary of State for Justice how many prison officers have been deployed on detached duty in each of the last five years.,The information requested could only be obtained at disproportionate cost. The deployment of staff between prisons on detached duty is a regular and normal part of prison resourcing. It allows staff to be allocated from prisons with the capacity to provide them to those where additional staffing is required. Since October 2013 national detached duty has been coordinated centrally. Detached duty has taken place every day since this date.
To ask the Secretary of State for Justice how many drones were discovered in the prison estate in 2016.,I refer the Rt Hon member to PQ 4436 answered on 17 July 2017.
To ask the Secretary of State for Justice on how many occasions the Chief Inspector of Prisons has used the urgent notification protocol to alert him to a significant concern regarding a prison since 30 November 2017.,The new Urgent Notification process allows Her Majestys Chief Inspector of Prisons to directly alert the Secretary of State if he has an urgent and significant concern about the performance of a prison. The Secretary of State will then publish his response and a plan of action within 28 days. Both the Chief Inspectors letter and the Secretary of States response will be published.Since its introduction on 30 November 2017 the Chief Inspector of Prisons has not triggered the Urgent Notification process.
To ask the Secretary of State for Justice pursuant to the Answer of 11 December 2017 to Question 117497 what the cost was of relocking prisons by the private contractor in 2016-17.,The Ministry of Justice is not responsible for meeting such costs in privately managed prisons. As per my Answer to Question 117497 the costs of any re-locking in privately managed prisons in 2016/17 were met by the providers.
To ask the Secretary of State for Justice how many days of detached duty have been worked by prison officers in each of the last five years.,The information requested could only be obtained at disproportionate cost. The deployment of staff between prisons on detached duty is a regular and normal part of prison resourcing. It allows staff to be allocated from prisons with the capacity to provide them to those where additional staffing is required. Since October 2013 national detached duty has been coordinated centrally. Detached duty has taken place every day since this date.
To ask the Secretary of State for Justice how many days of detached duty have been worked by prison officers in the last 12 months.,The information requested could only be obtained at disproportionate cost. The deployment of staff between prisons on detached duty is a regular and normal part of prison resourcing. It allows staff to be allocated from prisons with the capacity to provide them to those where additional staffing is required. Since October 2013 national detached duty has been coordinated centrally. Detached duty has taken place every day since this date.
To ask the Secretary of State for Justice how much has been paid in compensation to prison staff as a result of injuries suffered in a violent attack on the prison estate in each year since 2010.,The information requested is not held centrally and could be obtained only at disproportionate cost.
To ask the Secretary of State for Justice what licence conditions were imposed on Jordan Davidson on his release from HMP Parc on 9 December 2016.,Mr Jordon James Lee Davidson was released on a standard Licence from HMP Parc on the 9<sup>th</sup> December 2016 under the provisions of Chapter 6 of the Criminal Justice Act 2003 the objectives of which are to protect the public prevent re-offending and help resettlement into the community.In addition Mr Davidson was subject to additional requirements in relation to complying with requirements imposed by his supervising officer in relation to substance misuse and exclusion from a particular street in Wrexham.
To ask the Secretary of State for Justice which prisons use the Basic Custody Screening Tool; and if he will place in the Library a copy of the data collected by that too in the last 12 months with personally identifiable information removed.,"We have an established network of resettlement prisons which are used to facilitate the transition from custody into the community to enable Community Rehabilitation Companies (CRCs) to work with those prisoners returning to their local area. The Basic Custody Screening Tool (BCST) is completed in all of these resettlement prisons at the beginning of a prisoners custodial sentence. It is not completed in non-resettlement prisons. A list of resettlement prisons is attached. From the BCST records held centrally removal of personally identifiable information could only be carried out at disproportionate cost. As you will appreciate it would not be appropriate to release the raw data as recorded given the potential sensitivity of those records and indeed the regulations of the Data Protection Act. List of resettlement prisons in England and Wales <table><tbody>HMP Altcourse<td colspan=\2\"">HMP Kirklevington GrangeHMP Askham Grange<td colspan=\""2\"">HMP Lancaster FarmsHMP Bedford<td colspan=\""2\"">HMP LeedsHMP Belmarsh<td colspan=\""2\"">HMP LeicesterHMP Berwyn<td colspan=\""2\"">HMP LewesHMP Birmingham<td colspan=\""2\"">HMP LeyhillHMPYOI Brinsford<td colspan=\""2\"">HMP LincolnHMP Bristol<td colspan=\""2\"">HMP LiverpoolHMP Brixton<td colspan=\""2\"">HMP Low NewtonHMP Bronzefield<td colspan=\""2\"">HMP ManchesterHMP Bullingdon<td colspan=\""2\"">HMP MoorlandHMP Cardiff<td colspan=\""2\"">HMP MountHMP Channings Wood<td colspan=\""2\"">HMP New HallHMP Chelmsford<td colspan=\""2\"">HMP North Sea CampHMP Coldingley<td colspan=\""2\"">HMP NorthumberlandHMP Doncaster<td colspan=\""2\"">HMP NorwichHMP Dovegate<td colspan=\""2\"">HMP NottinghamHMP Downview<td colspan=\""2\"">HMP OakwoodHMP Drake Hall<td colspan=\""2\"">HMP OnleyHMP Durham<td colspan=\""2\"">HMP ParcHMP East Sutton Park<td colspan=\""2\"">HMP PentonvilleHMP Eastwood Park<td colspan=\""2\"">HMP PeterboroughHMP Elmley<td colspan=\""2\"">HMP PortlandHMP Exeter<td colspan=\""2\"">HMP PrestonHMP Featherstone<td colspan=\""2\"">HMP RanbyHMPYOI Feltham<td colspan=\""2\"">HMP RisleyHMP Ford<td colspan=\""2\"">HMP RochesterHMP Forest Bank<td colspan=\""2\"">HMP SendHMP Foston Hall<td colspan=\""2\"">HMP Standford HillHMP Grendon/Spring Hill<td colspan=\""2\"">HMP Stoke HeathHMP Guys Marsh<td colspan=\""2\"">HMP StyalHMP Hatfield<td colspan=\""2\"">HMP SudburyHMP Haverigg<td colspan=\""2\"">HMP SwanseaHMP Hewell<td colspan=\""2\"">HMP ThamesideHMP High Down<td colspan=\""2\"">HMP Thorn CrossHMP Highpoint<td colspan=\""2\"">HMP Usk / PrescoedHMP Hindley<td colspan=\""2\"">HMP WandsworthHMP Hollesley Bay<td colspan=\""2\"">HMP WaylandHMP Holme House<td colspan=\""2\"">HMP WealstunHMP Hull<td colspan=\""2\"">HMP WinchesterHMP Humber<td colspan=\""2\"">HMP WoodhillHMP Isis<td colspan=\""2\"">HMP Wormwood Scrubs<td colspan=\""2\"">HMP Kirkham</tbody></table>  """
To ask the Secretary of State for Justice if he will publish the results of the Measuring the Quality of Prison Life survey from the last five years and the reports generated for each prison based on that survey.,"Her Majestys Prison and Probation Service carry out Measuring the Quality of Life surveys of individual prisons on a rolling programme. On Thursday 26 October the Ministry of Justice launched Justice Data a new public facing platform for presenting published performance data. The website will be accessible at <a href=\https://www.data.justice.gov.uk/prisons\"" target=\""_blank\"">https://www.data.justice.gov.uk/prisons</a> and includes a year of MQPL performance on Safety and Decency. Until 2016/17 the scores for some dimensions of the prisoner surveys were included in the Prison Rating System (PRS) which was published annually. The results for 2016/17 can be found on gov.uk at <a href=\""https://www.gov.uk/government/statistics/prison-annual-performance-ratings-2016-to-2017\"" target=\""_blank\"">https://www.gov.uk/government/statistics/prison-annual-performance-ratings-2016-to-2017</a> and previous years will be available in the PRS reports at <a href=\""https://www.gov.uk/government/collections/prison-and-probation-trusts-performance-statistics\"" target=\""_blank\"">https://www.gov.uk/government/collections/prison-and-probation-trusts-performance-statistics</a> The PRS has been replaced with the Custodial Performance Tool and certain dimensions of the prisoner survey such as safety are part of this assessment. I have no plans to publish the reports of the Measuring the Quality of Life surveys as they are produced purely for management information."""
To ask the Secretary of State for Justice how many people lost custody of their children after being recalled to prison in each quarter for the last five years.,The information requested is not held centrally and can only be obtained at disproportionate cost.
To ask the Secretary of State for Justice how many agency staff work in HM Courts and Tribunal Service.,The current number of agency staff working for HM Courts and Tribunals Service as at 30<sup>th</sup> September 2017 was 2005. 
To ask the Secretary of State for Justice how many children had at least one parent who was imprisoned in each year for the last five years.,"The Government is committed to supporting prisoners to establish or maintain relationships with their families where appropriate. Lord Farmer published his report in August on improving family relationships for those in prison. Work has already commenced on taking forward some of the important recommendations from this review.The Ministry of Justice does not collect data on the number of children who have a parent in prison. An MoJ longitudinal study of adult prisoners estimated that there were around 200000 children who had a parent in prison at some point during 2009.In 2015 MoJ published analysis which estimated that in 2012 between 13-19% of women serving an immediate custodial sentence had at least one dependent child in their care. On average this group of women had 1.8 children each.<a href=\https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/465916/female-offenders-child-dependents-statistics.pdf\"" target=\""_blank\"">https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/465916/female-offenders-child-dependents-statistics.pdf</a>"""
To ask the Secretary of State for Justice what the average caseload has been for each Community Rehabilitation Company in each of the last 12 months.,"Caseloads for Community Rehabilitation Companies are published on gov.uk as part of the Offender Management Statistics Quarterly which can be accessed via the following link: <a href=\https://www.gov.uk/government/collections/offender-management-statistics-quarterly\"" target=\""_blank\"">https://www.gov.uk/government/collections/offender-management-statistics-quarterly</a>."""
